label,domain,fap_code,salary_net_monthly,employment_count,weighted_score,num_sources,min_source_val,max_source_val,regulations,rationale
Conseiller pénitentiaire (CPIP),K,K5Z10,2300,4400,4.26,5,4.0,5.0,,"Le suivi socio-judiciaire des personnes condamnées repose sur la relation de confiance, l'évaluation clinique du risque de récidive et la coordination pluridisciplinaire. Outils d'évaluation actuarielle (STATIC-99, LSI-R) déjà utilisés mais décision reste humaine. ~4 400 conseillers pénitentiaires d'insertion et de probation (CPIP) actifs en France (DAP/Ministère Justice 2024). L'IA est explicitement interdite pour la notation comportementale dans le domaine pénal (AI Act, art. 5)."
Musicien,L,L0Z10,1780,22000,3.02,4,2.8,4.0,,Performance live et interprétation émotionnelle · l'IA génère mais ne performe pas. Valeur sur le live et la pédagogie.
Réalisateur audiovisuel-cinéma,O,L1Z10,3500,15000,4.73,6,3.7,6.0,RGPD|DSA,"Les outils IA de pré-production (storyboarding, prévisualisation, casting) progressent rapidement. La direction d'acteurs, la vision artistique singulière et les décisions en temps réel sur le plateau restent irremplaçables. ~15 000 réalisateurs actifs (Audiens/intermittents 2024)."
Monteur-vidéaste,O,L1Z20,2400,18000,8.1,5,8.0,9.0,RGPD|DSA|IA_Act,"Montage automatique (génération de rushes, découpes IA, sous-titrage) : très exposé. L'Adobe Premiere/DaVinci Resolve intègrent déjà l'IA de manière native. La direction éditoriale, le rythme narratif et la post-production de prestige restent différenciants. ~18 000 monteurs (Audiens/CPNEF-AV 2024)."
Développeur logiciel,S,M1Z50,3850,182000,8.27,8,5.3,9.2,RGPD|IA_Act|NIS2|DORA,"Génération de code par LLMs très avancée (+55% productivité Copilot). Architecture, compréhension produit et jugement système résistent."
Data scientist,S,M1Z55,4280,52000,8.26,7,5.7,9.0,RGPD|IA_Act|NIS2,AutoML et LLMs effectuent les analyses standard. Valeur migre vers la définition du problème et l'interprétation stratégique.
Comptable,M,M1Z20,2650,128000,7.77,7,5.1,9.0,RGPD|AMF|IA_Act,"Saisie, déclarations et rapprochements très automatisables. La valeur migre vers le conseil et l'analyse critique."
Juriste droit social,P,M1Z10,3560,32000,7.66,4,7.0,8.0,RGPD|LOPJ,"Actes standard et recherche jurisprudentielle automatisables. Conseil stratégique, contentieux et négociation restent humains."
Analyste financier,M,M1Z30,4080,38000,8.25,7,6.2,9.0,RGPD|AMF|DORA|IA_Act,Analyse quantitative et rédaction de rapports = haute automatisabilité. Jugement stratégique et relations client résistent.
DRH,M,M1Z40,4080,42000,5.91,6,4.5,7.0,RGPD|IA_Act,"Recrutement et administration RH très exposés. Culture d'entreprise, stratégie humaine et gestion des conflits résistent."
UX designer,S,M1Z60,3250,26000,6.63,7,4.9,9.0,RGPD|IA_Act|DSA,"Génération d'interfaces automatisable. Recherche utilisateur, test et stratégie produit résistent."
Contrôleur de gestion,M,M1Z25,3450,72000,7.4,6,4.9,9.0,RGPD|AMF|DORA,Consolidation et reporting très automatisables. Rôle de business partner et conseil stratégique résistent.
Chef de projet IT,S,M1Z70,3680,88000,6.53,7,4.6,9.0,RGPD|IA_Act|NIS2|DORA,"Planification assistée par IA ; coordination humaine, gestion des risques imprévus et négociation stakeholders résistent."
Chauffeur routier,N,N4Z10,2080,278000,4.14,3,4.0,5.0,,Conduite autonome progresse (L4 en zone contrôlée) mais contexte réglementaire FR maintient un humain à moyen terme.
Greffier,P,O1Z10,2300,24000,6.91,6,6.0,8.0,RGPD|LOPJ,"Rédaction de procès-verbaux, saisie d'actes et gestion administrative des dossiers : très exposés à l'automatisation IA. Le rôle d'authentification, la relation aux justiciables et la maîtrise du droit procédural restent différenciants. ~24 000 greffiers fonctionnaires (Ministère de la Justice 2024) · plan de recrutement massif prévu par la LOPJ."
Commissaire de justice,P,O2Z10,4200,3800,5.8,5,5.0,6.0,RGPD|LOPJ,"Issu de la fusion huissiers/commissaires-priseurs (juillet 2022), ce profil hybride combine actes d'exécution forcée, constats et ventes judiciaires. La signification d'actes et la saisie de données sont automatisables. La présence physique, la relation au débiteur et l'autorité de l'officier ministériel restent irremplaçables. ~3 800 commissaires de justice (RSJ 2024)."
Expert judiciaire,P,O3Z10,4800,20000,5.04,5,5.0,6.0,RGPD|LOPJ,"La rédaction de rapports d'expertise et la recherche documentaire sont exposées. Mais l'évaluation sur site, le témoignage contradictoire en audience, la responsabilité personnelle engagée et le jugement d'expert en matière technique (médical, immobilier, forensique) restent hors portée des LLMs. ~20 000 experts judiciaires inscrits sur liste (Ministère Justice 2024)."
Médiateur-conciliateur,P,O4Z10,2800,5000,2.05,5,2.0,3.0,RGPD|LOPJ,"La médiation repose sur la présence physique, l'écoute active, la gestion émotionnelle des conflits et la co-construction d'accords · tâches très peu reproductibles par l'IA. La politique de l'amiable de la LOPJ 2023-2027 crée une forte demande. ~5 000 médiateurs certifiés et 3 500 conciliateurs bénévoles (Ministère Justice 2024)."
Logisticien,N,N4Z20,2650,92000,6.0,3,6.0,6.0,RGPD|NIS2,"Optimisation des flux exposée aux algorithmes. Gestion des exceptions, fournisseurs et risques géopolitiques résistent."
Pilote de ligne,N,N3Z10,7200,14000,3.0,3,3.0,3.0,RGPD|NIS2,"Automatisation forte en vol nominal. Décision d'urgence, gestion CRM et responsabilité réglementaire maintiennent l'humain."
Avocat,P,M2Z20,3800,79000,7.07,7,3.6,8.0,RGPD|LOPJ|IA_Act,"Recherche documentaire, rédaction d'actes standard et due diligence : fortement automatisables. Le conseil stratégique, la plaidoirie et les contentieux complexes restent irremplaçables. 79 141 avocats inscrits en janv. 2026 (CNB/Ministère de la Justice)."
Notaire,P,M2Z30,3600,17000,6.22,4,6.0,7.0,RGPD|LOPJ,"Actes immobiliers répétitifs, rédaction de clauses standard : exposés aux LLMs spécialisés. Authentification des actes, responsabilité ministerielle et conseil patrimonial complexe restent des fonctions humaines irremplaçables. 17 000 notaires en France (CSN 2024)."
Magistrat,P,M2Z40,4200,9300,3.88,5,3.1,5.0,RGPD|LOPJ|IA_Act,"L'aide à la décision par IA progresse (jurisprudence, prédiction de peines) mais la décision judiciaire, l'appréciation des faits et la motivation des jugements restent des fonctions constitutionnellement humaines. 9 300 magistrats en France (Ministère de la Justice 2024)."
Juriste d'entreprise,P,M2Z50,3800,65000,7.11,4,7.0,8.0,RGPD|LOPJ|IA_Act,"Revue de contrats, veille réglementaire et rédaction de clauses : automatisables à 60-70%. Le conseil stratégique, la négociation et la gestion des contentieux restent humains. ~65 000 juristes en entreprise (INSEE EEC 2024)."
Greffier des services judiciaires,P,M2Z60,2000,11000,6.95,5,6.0,7.0,RGPD|LOPJ,"Rédaction d'actes de procédure standardisés, gestion documentaire et convocations : tâches très exposées aux LLMs. La certification légale des actes, la présence aux audiences et la traçabilité pénale restent constitutionnellement humaines. ~11 000 greffiers fonctionnaires (catégorie B, Ministère Justice 2024 · 1 500 postes supplémentaires créés d'ici 2027)."
Professeur des écoles,R,K6Z20,2380,370000,4.2,6,2.6,5.0,RGPD|IA_Act,"Tuteurs IA personnalisés (Khan Academy, Khanmigo) progressent mais la relation éducative, la gestion de classe, la socialisation précoce et l'adaptation aux besoins individuels restent irremplaçables. 370 500 professeurs des écoles en France (DEPP 2024)."
Professeur collège-lycée,R,K6Z30,2680,530000,4.47,6,3.0,6.0,RGPD|IA_Act,"Production de cours, correction de copies : automatisables. L'animation pédagogique, la relation éducative, la gestion des difficultés d'apprentissage et la mission de socialisation restent irremplaçables. 530 000 enseignants du 2nd degré (DEPP Panorama 2024-2025)."
Enseignant-chercheur,R,K6Z40,3400,93000,5.22,6,3.7,6.0,RGPD|IA_Act,"Production de cours et rédaction d'articles standards très exposées. La recherche originale, la direction de thèse, l'évaluation par les pairs et la transmission du raisonnement scientifique restent profondément humaines. 93 000 enseignants du supérieur (MESR 2023)."
Conseiller d'orientation-psychologue,R,K6Z50,2500,11000,4.2,4,4.0,5.0,,"Les outils d'orientation algorithmiques (Parcoursup, Mon Master) se développent mais l'accompagnement psychologique individualisé, la détection des troubles et la relation de confiance restent irremplaçables. ~11 000 PsyEN en France (MEN 2024)."
Psychologue clinicien,J,J8Z10,2200,80000,3.39,6,3.0,4.0,RGPD|CSP,"La relation thérapeutique, le transfert et la formulation clinique restent irremplaçables. Les chatbots CBT assurent un premier niveau d'écoute mais ne se substituent pas au suivi psychologique. 80 000 psychologues inscrits (DREES/RPPS 2024)."
Chirurgien-dentiste,J,J9Z10,4200,40000,4.44,4,4.0,5.0,RGPD|CSP,"Gestes cliniques et chirurgicaux irremplaçables. L'IA progresse sur la détection des caries et pathologies (radiographies, CBCT) mais n'effectue pas les soins. 40 000 chirurgiens-dentistes (DREES/RPPS 2024)."
Kinésithérapeute,J,J6Z20,2800,105000,3.0,4,3.0,3.0,RGPD|CSP,Le toucher thérapeutique et l'adaptation en temps réel à la douleur sont non-substituables. Les exosquelettes et applications de téléréhabilitation assistent sans remplacer. 105 000 kinésithérapeutes (DREES/RPPS 2024).
Sage-femme,J,J2Z30,2400,24000,3.0,3,3.0,3.0,RGPD|CSP,"Accompagnement de la naissance, surveillance du travail et décision clinique en temps réel : non substituables. L'IA assiste le monitoring foetal (CTG) et la détection d'anomalies sans remplacer le jugement. 24 000 sages-femmes (DREES/RPPS 2024)."
Vétérinaire,J,J0Z10,3200,20000,4.13,4,4.0,5.0,RGPD|CSP,"Examen clinique et chirurgie : irremplaçables. L'IA progresse sur l'imagerie (radio, écho) et le diagnostic différentiel assisté. 20 000 vétérinaires en France (ONVS 2024)."
Community manager,O,D4Z20,2500,95000,7.96,8,5.5,9.0,RGPD|DSA,"Production de posts, réponses standardisées et reporting : très automatisables. La stratégie de marque, la gestion de crise et la création de contenu distinctif restent différenciants. ~95 000 CM (INSEE EEC 2024)."
Consultant en management,M,M3Z30,4200,180000,6.11,7,4.6,8.0,RGPD|IA_Act,"Analyse de données, production de slides et reporting : très automatisables. Le diagnostic organisationnel, la relation client et la conduite du changement humain restent des domaines où l'IA augmente sans remplacer. ~180 000 consultants (INSEE EEC 2024)."
Mécanicien automobile,H,I0Z30,2000,120000,3.33,4,3.0,4.0,,Diagnostic et réparation physique sur véhicule : difficile à automatiser. Les outils OBD/IA assistent sans remplacer la compétence terrain. La transition VE crée une demande de nouvelles compétences critiques. 120 000 mécaniciens (ANFA/INSEE 2024).
Coiffeur-esthéticien,G,G0Z30,1700,110000,1.14,3,1.0,2.0,,"Contact physique, geste technique personnalisé et relation de confiance : exposition minimale à l'IA. Les outils de visualisation (essayage virtuel) assistent le conseil sans substituer la prestation. 110 000 coiffeurs (UNEC/INSEE 2024)."
Conseiller en gestion de patrimoine,C,C2Z40,4200,32000,7.67,4,7.0,8.0,RGPD|AMF|IA_Act,"Analyse patrimoniale automatisable, mais conseil personnalisé, relation de confiance et responsabilité fiduciaire freinent la substitution totale."
Chargé de conformité (compliance),C,C2Z50,4800,18000,7.38,5,6.0,9.0,RGPD|AMF|DORA|NIS2|IA_Act,Veille réglementaire et détection d'anomalies très automatisables par LLMs. Mais la responsabilité d'interprétation face au régulateur reste humaine. L'IA Act crée une forte demande de ce profil.
Analyste crédit / underwriter,C,C2Z60,3400,25000,8.27,5,8.0,9.0,RGPD|AMF|DORA,Scoring automatisé par IA dans les grands réseaux bancaires. ISCO G4 selon ILO WP140. La valeur migre vers les dossiers complexes et la relation client sur les cas difficiles.
Technicien CNC / conducteur de machines,H,H2Z10,2500,195000,4.67,4,4.0,5.0,,"Conduite de machines-outils et programmation CFAO partiellement automatisables. La maintenance de premier niveau, le réglage fin et la gestion des aléas de production nécessitent la présence physique."
Travailleur social / assistant de service social,K,K1Z10,2150,145000,2.18,4,2.0,3.0,RGPD,"L'accompagnement social individuel, la gestion des crises et la médiation familiale reposent entièrement sur la relation humaine, le jugement contextuel et la confiance. ILO WP140 classifie ces métiers Not Exposed."
Responsable administratif & financier (RAF),M,M1Z10,4500,45000,6.47,5,6.0,7.0,RGPD|AMF,"Consolidation comptable, reporting et trésorerie très automatisables. La supervision des clôtures, la relation avec les commissaires aux comptes et la prise de décision financière stratégique résistent."
Directeur de projet / PMO,M,M1Z20,5500,38000,5.47,6,5.0,6.0,RGPD|IA_Act,"Planification et suivi de planning automatisables. La gestion des parties prenantes, la résolution de conflits et l'arbitrage stratégique des projets nécessitent le jugement et l'autorité humaine."
Gestionnaire paie & administration RH,M,M1Z30,2800,82000,8.4,5,8.0,9.0,RGPD|IA_Act,"Calcul de paie et déclarations sociales = exposition maximale selon ILO WP140 (ISCO Gradient 4). La valeur migre vers la gestion des cas complexes, la veille réglementaire sociale et le conseil."
Directeur artistique (DA) / créatif,O,O1Z10,4000,24000,6.45,4,6.0,7.0,RGPD|IA_Act|DSA,"Génération d'images IA automatise la production visuelle de base. Mais la direction artistique (cohérence de marque, concept, regard éditorial) reste une compétence humaine de haute valeur."
Formateur professionnel / responsable formation,R,R1Z10,2950,95000,4.64,4,4.0,5.0,RGPD|IA_Act,"Conception de modules e-learning automatisable. Mais l'animation présentielle, l'adaptation pédagogique en temps réel et l'accompagnement des apprenants en difficulté résistent à l'automatisation."
Artiste plasticien / peintre,B,B1Z10,1850,48000,2.33,4,2.0,3.0,RGPD|IA_Act|DSA,"L'IA génère des images mais ne signe pas d'œuvre : l'intentionnalité, la biographie de l'artiste et la reconnaissance critique constituent la valeur marchande irréductible. Revenu médian annuel 2 332 € (ADAGP 2025) : secteur économiquement fragile malgré la résistance à l'automatisation."
Illustrateur / dessinateur BD,B,B1Z20,2100,22000,7.73,5,7.0,9.0,RGPD|IA_Act|DSA,"Exposition élevée (ILO G2). L'ADAGP 2025 documente une chute réelle des commandes. La valeur migre vers la direction artistique, le style personnel distinctive et les projets à haute valeur éditoriale que l'IA ne peut pas conceptualiser seule."
Photographe professionnel (art / studio),B,B1Z30,2400,34000,5.91,4,5.0,7.0,RGPD|IA_Act|DSA,"ISCO Gradient 1 selon ILO WP140. La prise de vue reste physique et irremplaçable, mais la retouche, la sélection et la post-production sont sous forte pression. L'ADAGP documente une contraction réelle du marché."
Conservateur de musée / patrimoine,B,B1Z40,3200,12000,3.67,4,3.0,4.0,RGPD|IA_Act,"Le jugement curatorial (authenticité, provenance, signification culturelle) est une expertise humaine irréductible. L'IA augmente la numérisation et la médiation mais ne remplace pas l'expertise scientifique."
Graphiste / designer graphique indépendant,B,B1Z50,2600,55000,8.0,5,7.0,9.0,RGPD|IA_Act|DSA,Exposition G2 confirmée ILO WP140. Distinction critique entre graphisme de production (très exposé) et direction artistique conceptuelle (résiste). L'ADAGP 2025 documente la chute réelle des commandes de prestations externes.
Comédien / acteur,L,L1Z10,1950,65000,2.83,4,2.0,4.0,RGPD|IA_Act|DSA,"ILO WP140 classe les acteurs en Minimal Exposure (0.31). La présence physique, la performance incarnée et l'émotion en temps réel sont irremplaçables sur scène. Risque réel sur le doublage, les synthèses vocales et les doublures numériques (deepfakes)."
Danseur / chorégraphe,L,L1Z20,1750,22000,1.83,4,1.0,3.0,RGPD|IA_Act,"Not Exposed selon ILO WP140 (score 0.19). La danse est l'expression artistique la plus incarnée qui soit. La captation de mouvement et la chorégraphie assistée par IA sont des outils d'augmentation, pas de substitution."
Technicien son / lumière (spectacle vivant),L,L1Z30,2350,38000,3.67,4,3.0,4.0,,"Les tâches de régie en live (concert, théâtre) exigent une réactivité physique et une expertise contextuelle irremplaçable. L'IA automatise la conception de plans lumière et le traitement audio, mais l'opérationnel en temps réel reste humain."
Chef de chœur / directeur musical,L,L1Z40,2800,8500,2.67,4,2.0,3.0,,"Not Exposed selon ILO WP140. La direction musicale est une autorité artistique, psychologique et relationnelle. L'IA peut générer des partitions mais ne peut pas conduire un orchestre ou former des choristes."
